name,lon_bd,lat_bd,UTC_milk,fresh,yogurt,icecream,powder,pasture
飞鹤(甘南)乳品有限公司,123.524199,47.971061,0,0,0,0,1,0
黑龙江飞鹤乳业公司（克东县）,126.237878,48.042731,0,0,0,0,1,0
黑龙江飞鹤乳业有限公司拜泉分公司,126.094308,47.61349,0,0,0,0,1,0
中国飞鹤（廊坊）,117.001739,39.895349,0,0,0,0,1,0
飞鹤乳业公司,123.258765,47.320123,0,0,0,0,1,0
山西飞鹤三泰生物科技有限公司,113.407404,36.513187,0,0,0,0,1,0
石家庄君乐宝太行乳业有限公司,114.403415,37.97154,0,0,0,0,1,0
杨凌示范区火炬创业园,108.097559,34.248763,0,0,0,0,1,0
哈尔滨太子乐乳业有限公司,126.567423,45.909208,0,0,0,0,1,0
百跃羊乳（合水）古象有限公司,108.0057,35.791276,0,0,0,0,1,0
呼伦贝尔昱嘉乳业有限公司,120.457884,49.527845,0,0,0,0,1,0
陕西秦龙乳业集团有限公司,109.347796,34.678434,0,0,0,0,1,0
陕西美力源乳业集团有限公司,108.232764,34.255746,0,0,0,0,1,0
陕西省定边县乳品实业有限公司,107.605635,37.572532,0,0,0,0,1,0
西安喜洋洋生物科技有限公司,109.341519,34.699302,0,0,0,0,1,0
陕西雅泰乳业有限公司（朵恩）,108.653157,34.618144,0,0,0,0,1,0
陕西和氏乳业集团有限公司,106.844223,34.900367,0,0,0,0,1,0
西安安诺乳业有限公司,109.282084,34.686768,0,0,0,0,1,0
杜尔伯特伊利乳业有限责任公司,124.509001,46.8377,0,0,0,0,1,0
黑龙江省完达山乳业股份有限公司九三分公司,125.276413,48.86578,0,0,0,0,1,0
黑龙江省完达山乳业股份有限公司双城分公司,126.376136,45.401098,0,0,0,0,1,0
黑龙江华丹乳业有限公司,125.358032,46.427913,0,0,0,0,1,0
陕西百跃优利士乳业有限公司,108.272416,34.464263,0,0,0,0,1,0
中宁县黄河乳制品有限公司,105.694201,37.484386,0,0,0,0,1,0
辽宁辉山乳业集团（锦州）有限公司,121.266243,41.330025,0,0,0,0,1,0
内蒙古欧世蒙牛乳制品有限责任公司,111.793328,40.485551,0,0,0,0,1,0
美可高特羊乳有限公司,117.077405,39.151906,0,0,0,0,1,0
天津伊利乳业有限责任公司,117.427227,39.117009,0,0,0,0,1,0
澳优乳业(中国)有限公司,112.836467,28.346508,0,0,0,0,1,0
爱优诺营养品有限公司,115.858,29.733815,0,0,0,0,1,0
若尔盖高原之宝牦牛乳业有限责任公司,102.976417,33.585941,0,0,0,0,1,0
黑龙江贝特佳营养食品有限公司,126.991995,46.599601,0,0,0,0,1,0
新疆石河子花园乳业有限公司,86.034213,44.338177,0,0,0,0,1,0
西安百跃羊乳集团有限公司（百跃爱丽瑞）,108.941706,34.326411,0,0,0,0,1,0
雅士利新西兰乳业有限公司,113.283624,23.12865,0,0,0,0,1,0
长沙素加营养品有限公司,112.853329,28.339826,0,0,0,0,1,0
迈高联合有限公司,120.148396,36.23213,0,0,0,0,1,0
明一乳业（齐齐哈尔）有限公司,122.918197,47.502373,0,0,0,0,1,0
明一乳业（富裕）有限公司,124.481381,47.807463,0,0,0,0,1,0
明一国际营养品集团有限公司,119.244924,26.058596,0,0,0,0,1,0
淮南益益营养食品科技有限公司,117.072113,32.650507,0,0,0,0,1,0
大庆乳品厂有限责任公司,125.223352,46.559646,0,0,0,0,1,0
青岛索康食品有限公司,119.792961,36.144828,0,0,0,0,1,0
黑龙江农垦全乳元乳业有限责任公司,130.744084,47.587735,0,0,0,0,1,0
黑龙江省农垦龙王食品有限责任公司,126.982245,46.67003,0,0,0,0,1,0
肇州县摇篮乳业有限责任公司,125.27344,45.695095,0,0,0,0,1,0
依安县摇篮乳业有限责任公司,125.3397,47.904186,0,0,0,0,1,0
黑龙江宜品乳业有限公司,126.478531,48.235833,0,0,0,0,1,0
吉林贝因美乳业有限公司,120.16307,30.185514,0,0,0,0,1,0
白城龙丹乳业科技有限公司,122.908468,45.58469,0,0,0,0,1,0
菲仕兰辉山乳业有限公司,123.080034,42.353189,0,0,0,0,1,0
唐山三元食品有限公司,117.907324,39.376038,0,0,0,0,1,0
杜尔伯特伊利乳业有限责任公司,124.509001,46.8377,0,0,0,0,1,0
北安完达山乳品有限公司,126.475028,48.246687,0,0,0,0,1,0
甘南藏族自治州燎原乳业有限责任公司,102.98335,35.03247,0,0,0,0,1,0
临夏州燎原乳业有限公司,103.223037,35.597063,0,0,0,0,1,0
湖南欧比佳营养食品有限公司,112.837296,28.310396,0,0,0,0,1,0
陕西关山陇州乳业有限责任公司,106.898488,34.885569,0,0,0,0,1,0
陕西红星美羚乳业股份有限公司,109.172142,34.745684,0,0,0,0,1,0
西安银桥贝多营养食品有限公司,108.875439,34.190905,0,0,0,0,1,0
西安银桥乳业（集团）有限公司,108.907109,34.248085,0,0,0,0,1,0
北海贝因美营养食品有限公司,109.158111,21.485956,0,0,0,0,1,0
雅培（嘉兴）营养品有限公司,120.708434,30.709857,0,0,0,0,1,0
杭州贝因美母婴营养品有限公司,120.263778,30.468692,0,0,0,0,1,0
上海纽贝滋营养乳品有限公司,121.090693,30.956961,0,0,0,0,1,0
上海晨冠乳业有限公司,121.47828,30.975318,0,0,0,0,1,0
多美滋婴幼儿食品有限公司,121.615235,31.254911,0,0,0,0,1,0
黑龙江红星集团食品有限公司,129.72804,44.575536,0,0,0,0,1,0
青冈亚华乳多宝乳业有限责任公司,125.71215,46.870402,0,0,0,0,1,0
新益美营养品有限公司,112.900054,28.219484,0,0,0,0,1,0
大庆市绿叶乳品有限公司,124.956105,46.351303,0,0,0,0,1,0
北安宜品努卡乳业有限公司,126.478531,48.235833,0,0,0,0,1,0
黑龙江省光明松鹤乳品有限责任公司,124.470379,47.79335,0,0,0,0,1,0
黑龙江贝因美乳业有限公司,125.388387,46.460914,0,0,0,0,1,0
河北三元食品有限公司,114.69746,38.334531,0,0,0,0,1,0
多加多乳业(天津)有限公司,117.456986,38.990086,0,0,0,0,1,0
陕西欢恩宝乳业股份有限公司,108.663005,34.329331,0,0,0,0,1,0
爱尼可（青岛）有机营养食品,120.198047,35.957506,0,0,0,0,1,0
上海花冠营养乳品有限公司,121.305954,31.054895,0,0,0,0,1,0
黑龙江辰鹰乳业有限公司,125.279779,49.193629,0,0,0,0,1,0
宜昌贝因美食品科技有限公司,111.344769,30.718775,0,0,0,0,1,0
江西美庐乳业集团有限公司,121.361723,31.165224,0,0,0,0,1,0
圣元营养食品有限公司,120.022973,35.852161,0,0,0,0,1,0
蓝河乳业有限合伙公司,112.825313,28.32259,0,0,0,0,1,0
雅士利国际集团有限公司,116.700007,23.477429,0,0,0,0,1,0
陕西和氏乳业集团陇州有限公司,106.90146,34.882412,0,0,0,0,1,0
天津澳斯乳业有限公司,117.409116,39.130477,0,0,0,0,1,0
双城雀巢有限公司,126.33195,45.373312,0,0,0,0,1,0
内蒙古金海伊利乳业有限责任公司,111.466536,40.753009,0,0,0,0,1,0
美赞臣营养品（中国）有限公司,113.523443,23.072653,0,0,0,0,1,0
惠氏营养品（中国）有限公司,121.462193,31.234592,0,0,0,0,1,0
黑龙江鞍达实业集团股份有限公司,125.311346,46.417446,0,0,0,0,1,0
广州市美素力营养品有限公司,113.170941,23.416365,0,0,0,0,1,0
江西人之初乳品营养有限公司,115.867714,28.566569,0,0,0,0,1,0
黑龙江优贝康乳业有限公司,127.066991,47.244808,0,0,0,0,1,0
陕西金牛乳业有限公司,109.244592,34.718745,0,0,0,0,1,0
西安宏兴乳业有限公司,109.219052,34.592319,0,0,0,0,1,0
高培（广州）乳业有限公司,113.850056,23.280304,0,0,0,0,1,0
湖北咸宁向阳湖兴兴奶业有限公司,114.210308,29.881494,0,0,0,0,1,0
黑龙江农垦英博华威乳业有限公司,128.063675,47.010421,0,0,0,0,1,0
杭州味全生技食品有限公司,120.385159,30.303976,0,0,0,0,1,0
呼伦贝尔双娃乳业有限公司,123.500226,48.148082,0,0,0,0,1,0
旗帜婴儿乳品股份有限公司,115.029335,41.468743,0,0,0,0,1,0
新疆西牧乳业有限责任公司,86.10026,44.310736,0,0,0,0,1,0
内蒙古蒙原食品有限责任公司,118.909749,42.351081,0,0,0,0,1,0
江西金薄金生态科技有限公司,115.847335,28.663406,0,0,0,0,1,0
黑龙江托普康儿乳业有限公司,124.641216,47.849006,0,0,0,0,1,0
呼伦贝尔友谊乳业（集团）有限责任公司,120.743724,49.289609,0,0,0,0,1,0
君乐宝优致牧场,114.354146,37.985985,0,0,0,0,0,1
圣妃乳业,108.158469,34.121483,0,0,0,0,0,1
内蒙古伊利实业集团股份有限公司,111.461338,40.752298,0,0,0,1,0,0
浙江伊利乳业有限公司,119.369865,29.101179,0,0,0,1,0,0
成都伊利乳业有限责任公司,103.496325,30.405159,0,0,0,1,0,0
陕西伊利乳业有限责任公司,109.303886,34.188491,0,0,0,1,0,0
定州伊利乳业有限责任公司,115.028116,38.595072,0,0,0,1,0,0
梅州伊利冷冻食品有限责任公司,115.985996,24.020105,0,0,0,1,0,0
湖北黄冈伊利乳业有限责任公司,114.915992,30.433452,0,0,0,1,0,0
合肥伊利乳业有限责任公司,117.26993,31.992415,0,0,0,1,0,0
天津伊利康业冷冻食品有限公司,117.463637,38.981971,0,0,0,1,0,0
潍坊伊利乳业有限责任公司,118.50396,36.512284,0,0,0,1,0,0
广西伊利冷冻食品有限责任公司,108.191321,23.190674,0,0,0,1,0,0
长春伊利冷冻食品有限责任公司,125.513633,44.023541,0,0,0,1,0,0
香港阿波罗（江门）雪糕有限公司,112.915074,22.566221,0,0,0,1,0,0
庐山新天源食品厂,115.943609,29.582458,0,0,0,1,0,0
和路雪（中国）有限公司,116.519089,39.812925,0,0,0,1,0,0
和路雪（中国）有限公司太仓分公司,121.106391,31.462303,0,0,0,1,0,0
上海亨泽食品有限公司,121.446375,31.240825,0,0,0,1,0,0
星洲康派克（湖北）食品饮料有限公司,113.471809,30.366512,0,0,0,1,0,0
江苏美伦食品有限公司,119.465498,32.359272,0,0,0,1,0,0
南通欣晨乳业有限公司,120.755257,32.486279,0,0,0,1,0,0
南京志力成食品股份有限公司,118.55233,31.957644,0,0,0,1,0,0
米开朗食品股份有限公司,120.729533,30.705902,0,0,0,1,0,0
天津中街冰点城食品有限公司,117.001984,38.919701,0,0,0,1,0,0
上海麦丰食品有限公司航头分公司,121.607337,31.035444,0,0,0,1,0,0
哈尔滨马迭尔食品股份有限公司,126.478239,45.826519,0,0,0,1,0,0
马迭尔食品（浙江）有限公司,118.958066,28.939987,0,0,0,1,0,0
北京马迭尔食品有限公司,116.815716,40.297855,0,0,0,1,0,0
天津雀巢有限公司,117.713803,39.060775,0,0,0,1,0,0
广州冷冻食品有限公司,113.256455,23.181043,0,0,0,1,0,0
北京艾莱发喜食品有限公司,116.58093,40.143697,0,0,0,1,0,0
上海三元全佳乳业有限公司,121.127659,31.202718,0,0,0,1,0,0
杭州天鹰食品有限公司,119.887186,30.045669,0,0,0,1,0,0
上海益民食品一厂有限公司,121.52187,31.280311,0,0,0,1,0,0
明治雪糕（广州）有限公司,113.527047,23.069243,0,0,0,1,0,0
佑康食品（杭州）有限公司,120.26044,30.321611,0,0,0,1,0,0
沈阳德氏冷饮食品有限公司沈河分公司,123.51179,41.779848,0,0,0,1,0,0
成武县鑫盛源食品有限公司,115.882814,34.914517,0,0,0,1,0,0
营口德华食品有限公司,122.297626,40.658838,0,0,0,1,0,0
营口奥雪冷藏储运食品有限公司,122.380979,40.379038,0,0,0,1,0,0
沈阳礼拜天食品有限责任公司,123.318643,41.665248,0,0,0,1,0,0
河南省天冰冷饮有限公司,113.766089,34.72868,0,0,0,1,0,0
长沙天冰冷饮有限公司,112.992864,28.034402,0,0,0,1,0,0
内蒙古天辅乳业有限公司,113.141529,40.955049,0,0,0,1,0,0
田牧乳业（当阳）有限公司,111.816488,30.847773,0,0,0,1,0,0
黑龙江百家得冷冻食品有限公司,126.607433,45.691549,0,0,0,1,0,0
寿光市恒康华银食品股份有限公司,118.793044,36.891068,0,0,0,1,0,0
天津市大桥道食品有限公司,117.317281,39.027583,0,0,0,1,0,0
大庆市红宝石冰淇淋有限公司,125.043094,46.518384,0,0,0,1,0,0
青岛鼎喜冷食有限公司,119.953091,36.744654,0,0,0,1,0,0
四平宏宝莱饮品股份有限公司,124.350471,43.207055,0,0,0,1,0,0
